,date_time,mean,sum,max,min,count
0,2023-01-03,5.46,10.92,7.3,3.62,2
1,2023-01-04,5.7,5.7,5.7,5.7,1
2,2023-01-06,6.49,12.98,6.85,6.13,2
3,2023-01-08,5.76,5.76,5.76,5.76,1
4,2023-01-09,5.453333333333333,16.36,7.14,3.51,3
5,2023-01-11,3.2800000000000002,6.5600000000000005,4.44,2.12,2
6,2023-01-13,5.43,5.43,5.43,5.43,1
7,2023-01-14,6.8100000000000005,13.620000000000001,7.19,6.43,2
8,2023-01-15,3.33,3.33,3.33,3.33,1
9,2023-01-16,8.91,8.91,8.91,8.91,1
10,2023-01-17,4.91,9.82,6.5,3.32,2
11,2023-01-18,6.206666666666667,18.62,9.3,1.72,3
12,2023-01-20,9.205,18.41,9.26,9.15,2
13,2023-01-22,7.0,7.0,7.0,7.0,1
14,2023-01-23,7.1,7.1,7.1,7.1,1
15,2023-01-24,6.720000000000001,13.440000000000001,9.57,3.87,2
16,2023-01-25,8.56,8.56,8.56,8.56,1
17,2023-01-27,2.025,4.05,2.5,1.55,2
18,2023-01-28,7.175000000000001,14.350000000000001,9.57,4.78,2
19,2023-01-29,1.71,1.71,1.71,1.71,1
20,2023-01-31,8.86,8.86,8.86,8.86,1
21,2023-02-02,4.125,8.25,5.84,2.41,2
22,2023-02-03,3.02,3.02,3.02,3.02,1
23,2023-02-05,4.45,8.9,6.08,2.82,2
24,2023-02-07,4.36,4.36,4.36,4.36,1
25,2023-02-08,3.8,3.8,3.8,3.8,1
26,2023-02-10,3.11,3.11,3.11,3.11,1
27,2023-02-14,4.62,4.62,4.62,4.62,1
28,2023-02-15,8.92,8.92,8.92,8.92,1
29,2023-02-16,4.045,8.09,5.7,2.39,2
30,2023-02-17,6.865,13.73,7.08,6.65,2
31,2023-02-18,2.17,2.17,2.17,2.17,1
32,2023-02-19,4.8149999999999995,9.629999999999999,6.01,3.62,2
33,2023-02-22,2.16,2.16,2.16,2.16,1
34,2023-02-25,3.77,3.77,3.77,3.77,1
35,2023-02-27,3.53,3.53,3.53,3.53,1
36,2023-02-28,8.78,8.78,8.78,8.78,1
37,2023-03-03,4.11,8.22,7.45,0.77,2
38,2023-03-04,2.445,4.89,2.94,1.95,2
39,2023-03-08,4.675000000000001,9.350000000000001,6.19,3.16,2
40,2023-03-09,6.603333333333333,19.81,9.78,1.77,3
